No.,APG Wave,Date,Time
0,1940,2024-10-08,19:47:01
1,1940,2024-10-08,19:47:01
2,1960,2024-10-08,19:47:01
3,1980,2024-10-08,19:47:01
4,1980,2024-10-08,19:47:01
5,1980,2024-10-08,19:47:01
6,1980,2024-10-08,19:47:01
7,1960,2024-10-08,19:47:01
8,1960,2024-10-08,19:47:01
9,1940,2024-10-08,19:47:01
10,1920,2024-10-08,19:47:01
11,1900,2024-10-08,19:47:01
12,1880,2024-10-08,19:47:01
13,1880,2024-10-08,19:47:01
14,1880,2024-10-08,19:47:01
15,1880,2024-10-08,19:47:01
16,1900,2024-10-08,19:47:01
17,1940,2024-10-08,19:47:01
18,2020,2024-10-08,19:47:01
19,2180,2024-10-08,19:47:01
20,2440,2024-10-08,19:47:01
21,2760,2024-10-08,19:47:01
22,3060,2024-10-08,19:47:01
23,3220,2024-10-08,19:47:01
24,3140,2024-10-08,19:47:01
25,2840,2024-10-08,19:47:01
26,2440,2024-10-08,19:47:01
27,1940,2024-10-08,19:47:01
28,1480,2024-10-08,19:47:01
29,1120,2024-10-08,19:47:01
30,880,2024-10-08,19:47:01
31,780,2024-10-08,19:47:01
32,800,2024-10-08,19:47:01
33,940,2024-10-08,19:47:01
34,1100,2024-10-08,19:47:01
35,1280,2024-10-08,19:47:01
36,1460,2024-10-08,19:47:01
37,1660,2024-10-08,19:47:01
38,1800,2024-10-08,19:47:01
39,1900,2024-10-08,19:47:01
40,1960,2024-10-08,19:47:01
41,1960,2024-10-08,19:47:01
42,1900,2024-10-08,19:47:01
43,1840,2024-10-08,19:47:01
44,1820,2024-10-08,19:47:01
45,1840,2024-10-08,19:47:01
46,1880,2024-10-08,19:47:01
47,1980,2024-10-08,19:47:01
48,2060,2024-10-08,19:47:01
49,2160,2024-10-08,19:47:01
50,2200,2024-10-08,19:47:01
51,2200,2024-10-08,19:47:01
52,2160,2024-10-08,19:47:01
53,2080,2024-10-08,19:47:01
54,2000,2024-10-08,19:47:01
55,1900,2024-10-08,19:47:01
56,1820,2024-10-08,19:47:01
57,1740,2024-10-08,19:47:01
58,1700,2024-10-08,19:47:01
59,1680,2024-10-08,19:47:01
60,1660,2024-10-08,19:47:01
61,1700,2024-10-08,19:47:01
62,1700,2024-10-08,19:47:01
63,1740,2024-10-08,19:47:01
64,1800,2024-10-08,19:47:01
65,1820,2024-10-08,19:47:01
66,1860,2024-10-08,19:47:01
67,1900,2024-10-08,19:47:01
68,1920,2024-10-08,19:47:01
69,1960,2024-10-08,19:47:01
70,1980,2024-10-08,19:47:01
71,2000,2024-10-08,19:47:01
72,2000,2024-10-08,19:47:01
73,2000,2024-10-08,19:47:01
74,1980,2024-10-08,19:47:01
75,1960,2024-10-08,19:47:01
76,1940,2024-10-08,19:47:02
77,1940,2024-10-08,19:47:02
78,1920,2024-10-08,19:47:02
79,1900,2024-10-08,19:47:02
80,1900,2024-10-08,19:47:02
81,1920,2024-10-08,19:47:02
82,1920,2024-10-08,19:47:02
83,1980,2024-10-08,19:47:02
84,2100,2024-10-08,19:47:02
85,2320,2024-10-08,19:47:02
86,2620,2024-10-08,19:47:02
87,2980,2024-10-08,19:47:02
88,3220,2024-10-08,19:47:02
89,3240,2024-10-08,19:47:02
90,3020,2024-10-08,19:47:02
91,2640,2024-10-08,19:47:02
92,2100,2024-10-08,19:47:02
93,1600,2024-10-08,19:47:02
94,1180,2024-10-08,19:47:02
95,920,2024-10-08,19:47:02
96,760,2024-10-08,19:47:02
97,760,2024-10-08,19:47:02
98,880,2024-10-08,19:47:02
99,1040,2024-10-08,19:47:02
100,1200,2024-10-08,19:47:02
101,1400,2024-10-08,19:47:02
102,1580,2024-10-08,19:47:02
103,1740,2024-10-08,19:47:02
104,1880,2024-10-08,19:47:02
105,1940,2024-10-08,19:47:02
106,1960,2024-10-08,19:47:02
107,1940,2024-10-08,19:47:02
108,1900,2024-10-08,19:47:02
109,1860,2024-10-08,19:47:02
110,1840,2024-10-08,19:47:02
111,1880,2024-10-08,19:47:02
112,1960,2024-10-08,19:47:02
113,2060,2024-10-08,19:47:02
114,2160,2024-10-08,19:47:02
115,2200,2024-10-08,19:47:02
116,2220,2024-10-08,19:47:02
117,2180,2024-10-08,19:47:02
118,2100,2024-10-08,19:47:02
119,2000,2024-10-08,19:47:02
120,1900,2024-10-08,19:47:02
121,1800,2024-10-08,19:47:02
122,1720,2024-10-08,19:47:02
123,1680,2024-10-08,19:47:02
124,1660,2024-10-08,19:47:02
125,1660,2024-10-08,19:47:02
126,1680,2024-10-08,19:47:02
127,1720,2024-10-08,19:47:02
128,1760,2024-10-08,19:47:02
