No.,APG Wave,Date,Time
0,180,2024-10-07,16:07:58
1,320,2024-10-07,16:07:58
2,520,2024-10-07,16:07:58
3,740,2024-10-07,16:07:58
4,960,2024-10-07,16:07:58
5,1160,2024-10-07,16:07:58
6,1380,2024-10-07,16:07:58
7,1560,2024-10-07,16:07:58
8,1700,2024-10-07,16:07:58
9,1820,2024-10-07,16:07:58
10,1920,2024-10-07,16:07:58
11,2040,2024-10-07,16:07:58
12,2180,2024-10-07,16:07:58
13,2360,2024-10-07,16:07:58
14,2520,2024-10-07,16:07:58
15,2640,2024-10-07,16:07:58
16,2680,2024-10-07,16:07:58
17,2640,2024-10-07,16:07:58
18,2560,2024-10-07,16:07:58
19,2440,2024-10-07,16:07:58
20,2260,2024-10-07,16:07:58
21,2120,2024-10-07,16:07:58
22,1920,2024-10-07,16:07:58
23,1780,2024-10-07,16:07:58
24,1660,2024-10-07,16:07:58
25,1600,2024-10-07,16:07:58
26,1560,2024-10-07,16:07:58
27,1560,2024-10-07,16:07:58
28,1580,2024-10-07,16:07:58
29,1620,2024-10-07,16:07:58
30,1660,2024-10-07,16:07:58
31,1720,2024-10-07,16:07:58
32,1760,2024-10-07,16:07:58
33,1800,2024-10-07,16:07:58
34,1820,2024-10-07,16:07:58
35,1860,2024-10-07,16:07:58
36,1880,2024-10-07,16:07:58
37,1900,2024-10-07,16:07:58
38,1900,2024-10-07,16:07:58
39,1940,2024-10-07,16:07:58
40,1940,2024-10-07,16:07:58
41,1960,2024-10-07,16:07:58
42,2000,2024-10-07,16:07:58
43,2020,2024-10-07,16:07:58
44,2080,2024-10-07,16:07:58
45,2200,2024-10-07,16:07:58
46,2380,2024-10-07,16:07:58
47,2680,2024-10-07,16:07:58
48,3000,2024-10-07,16:07:58
49,3320,2024-10-07,16:07:58
50,3500,2024-10-07,16:07:58
51,3480,2024-10-07,16:07:58
52,3240,2024-10-07,16:07:58
53,2840,2024-10-07,16:07:58
54,2300,2024-10-07,16:07:58
55,1720,2024-10-07,16:07:58
56,1180,2024-10-07,16:07:58
57,820,2024-10-07,16:07:58
58,560,2024-10-07,16:07:58
59,380,2024-10-07,16:07:58
60,300,2024-10-07,16:07:58
61,380,2024-10-07,16:07:58
62,560,2024-10-07,16:07:58
63,740,2024-10-07,16:07:58
64,940,2024-10-07,16:07:58
65,1160,2024-10-07,16:07:58
66,1360,2024-10-07,16:07:58
67,1540,2024-10-07,16:07:58
68,1700,2024-10-07,16:07:58
69,1820,2024-10-07,16:07:59
70,1920,2024-10-07,16:07:59
71,2040,2024-10-07,16:07:59
72,2200,2024-10-07,16:07:59
73,2360,2024-10-07,16:07:59
74,2520,2024-10-07,16:07:59
75,2660,2024-10-07,16:07:59
76,2700,2024-10-07,16:07:59
77,2680,2024-10-07,16:07:59
78,2580,2024-10-07,16:07:59
79,2440,2024-10-07,16:07:59
80,2260,2024-10-07,16:07:59
81,2060,2024-10-07,16:07:59
82,1880,2024-10-07,16:07:59
83,1740,2024-10-07,16:07:59
84,1640,2024-10-07,16:07:59
85,1600,2024-10-07,16:07:59
86,1560,2024-10-07,16:07:59
87,1580,2024-10-07,16:07:59
88,1600,2024-10-07,16:07:59
89,1620,2024-10-07,16:07:59
90,1660,2024-10-07,16:07:59
91,1700,2024-10-07,16:07:59
92,1740,2024-10-07,16:07:59
93,1780,2024-10-07,16:07:59
94,1840,2024-10-07,16:07:59
95,1860,2024-10-07,16:07:59
96,1880,2024-10-07,16:07:59
97,1900,2024-10-07,16:07:59
98,1900,2024-10-07,16:07:59
99,1920,2024-10-07,16:07:59
100,1960,2024-10-07,16:07:59
101,1980,2024-10-07,16:07:59
102,2000,2024-10-07,16:07:59
103,2060,2024-10-07,16:07:59
104,2140,2024-10-07,16:07:59
105,2300,2024-10-07,16:07:59
106,2520,2024-10-07,16:07:59
107,2820,2024-10-07,16:07:59
108,3120,2024-10-07,16:07:59
109,3360,2024-10-07,16:07:59
110,3400,2024-10-07,16:07:59
111,3240,2024-10-07,16:07:59
112,2900,2024-10-07,16:07:59
113,2460,2024-10-07,16:07:59
114,1920,2024-10-07,16:07:59
115,1400,2024-10-07,16:07:59
116,980,2024-10-07,16:07:59
117,680,2024-10-07,16:07:59
118,480,2024-10-07,16:07:59
119,340,2024-10-07,16:07:59
120,420,2024-10-07,16:07:59
121,600,2024-10-07,16:07:59
122,800,2024-10-07,16:07:59
123,1000,2024-10-07,16:07:59
124,1180,2024-10-07,16:07:59
125,1360,2024-10-07,16:07:59
126,1520,2024-10-07,16:07:59
127,1640,2024-10-07,16:07:59
128,1760,2024-10-07,16:07:59
129,1900,2024-10-07,16:07:59
130,2040,2024-10-07,16:07:59
131,2160,2024-10-07,16:07:59
132,2320,2024-10-07,16:07:59
133,2440,2024-10-07,16:07:59
134,2540,2024-10-07,16:07:59
135,2600,2024-10-07,16:07:59
136,2600,2024-10-07,16:07:59
137,2540,2024-10-07,16:07:59
138,2420,2024-10-07,16:07:59
139,2300,2024-10-07,16:07:59
140,2160,2024-10-07,16:07:59
141,2000,2024-10-07,16:07:59
142,1860,2024-10-07,16:07:59
143,1760,2024-10-07,16:07:59
144,1680,2024-10-07,16:07:59
145,1620,2024-10-07,16:07:59
146,1600,2024-10-07,16:07:59
147,1600,2024-10-07,16:07:59
148,1600,2024-10-07,16:07:59
149,1640,2024-10-07,16:07:59
150,1680,2024-10-07,16:07:59
151,1720,2024-10-07,16:07:59
152,1760,2024-10-07,16:07:59
153,1800,2024-10-07,16:07:59
154,1840,2024-10-07,16:07:59
155,1880,2024-10-07,16:07:59
156,1900,2024-10-07,16:07:59
157,1900,2024-10-07,16:07:59
158,1940,2024-10-07,16:07:59
159,1940,2024-10-07,16:07:59
160,1940,2024-10-07,16:07:59
161,1940,2024-10-07,16:07:59
162,1960,2024-10-07,16:07:59
163,2020,2024-10-07,16:07:59
164,2120,2024-10-07,16:07:59
165,2300,2024-10-07,16:07:59
166,2520,2024-10-07,16:07:59
167,2800,2024-10-07,16:07:59
168,3080,2024-10-07,16:07:59
169,3300,2024-10-07,16:07:59
170,3320,2024-10-07,16:07:59
171,3180,2024-10-07,16:07:59
172,2860,2024-10-07,16:08:00
173,2420,2024-10-07,16:08:00
174,1880,2024-10-07,16:08:00
175,1360,2024-10-07,16:08:00
176,680,2024-10-07,16:08:00
