No.,APG Wave,Date,Time
0,3380,2024-10-08,14:52:18
1,3320,2024-10-08,14:52:18
2,3040,2024-10-08,14:52:18
3,2620,2024-10-08,14:52:18
4,2080,2024-10-08,14:52:18
5,1500,2024-10-08,14:52:18
6,1060,2024-10-08,14:52:18
7,760,2024-10-08,14:52:18
8,640,2024-10-08,14:52:18
9,640,2024-10-08,14:52:18
10,800,2024-10-08,14:52:18
11,1020,2024-10-08,14:52:18
12,1240,2024-10-08,14:52:18
13,1440,2024-10-08,14:52:18
14,1600,2024-10-08,14:52:18
15,1700,2024-10-08,14:52:18
16,1760,2024-10-08,14:52:18
17,1740,2024-10-08,14:52:18
18,1700,2024-10-08,14:52:18
19,1680,2024-10-08,14:52:18
20,1660,2024-10-08,14:52:18
21,1700,2024-10-08,14:52:19
22,1740,2024-10-08,14:52:19
23,1820,2024-10-08,14:52:19
24,1940,2024-10-08,14:52:19
25,2040,2024-10-08,14:52:19
26,2100,2024-10-08,14:52:19
27,2140,2024-10-08,14:52:19
28,2180,2024-10-08,14:52:19
29,2160,2024-10-08,14:52:19
30,2100,2024-10-08,14:52:19
31,2020,2024-10-08,14:52:19
32,1940,2024-10-08,14:52:19
33,1880,2024-10-08,14:52:19
34,1820,2024-10-08,14:52:19
35,1780,2024-10-08,14:52:19
36,1760,2024-10-08,14:52:19
37,1780,2024-10-08,14:52:19
38,1800,2024-10-08,14:52:19
39,1820,2024-10-08,14:52:19
40,1840,2024-10-08,14:52:19
41,1860,2024-10-08,14:52:19
42,1900,2024-10-08,14:52:19
43,1900,2024-10-08,14:52:19
44,1920,2024-10-08,14:52:19
45,1920,2024-10-08,14:52:19
46,1940,2024-10-08,14:52:19
47,1960,2024-10-08,14:52:19
48,1980,2024-10-08,14:52:19
49,1940,2024-10-08,14:52:19
50,1920,2024-10-08,14:52:19
51,1900,2024-10-08,14:52:19
52,1900,2024-10-08,14:52:19
53,1920,2024-10-08,14:52:19
54,1920,2024-10-08,14:52:19
55,1940,2024-10-08,14:52:19
56,1940,2024-10-08,14:52:19
57,1940,2024-10-08,14:52:19
58,1920,2024-10-08,14:52:19
59,1920,2024-10-08,14:52:19
60,1900,2024-10-08,14:52:19
61,1900,2024-10-08,14:52:19
62,1900,2024-10-08,14:52:19
63,1880,2024-10-08,14:52:19
64,1900,2024-10-08,14:52:19
65,1960,2024-10-08,14:52:19
66,2080,2024-10-08,14:52:19
67,2260,2024-10-08,14:52:19
68,2540,2024-10-08,14:52:19
69,2900,2024-10-08,14:52:19
70,3240,2024-10-08,14:52:19
71,3420,2024-10-08,14:52:19
72,3400,2024-10-08,14:52:19
73,3160,2024-10-08,14:52:19
74,2780,2024-10-08,14:52:19
75,2200,2024-10-08,14:52:19
76,1620,2024-10-08,14:52:19
77,1100,2024-10-08,14:52:19
78,800,2024-10-08,14:52:19
79,640,2024-10-08,14:52:19
80,780,2024-10-08,14:52:19
81,980,2024-10-08,14:52:19
82,1220,2024-10-08,14:52:19
83,1420,2024-10-08,14:52:19
84,1580,2024-10-08,14:52:19
85,1700,2024-10-08,14:52:19
86,1760,2024-10-08,14:52:19
