No.,APG Wave,Date,Time
178,2740,2024-10-08,17:26:02
179,3120,2024-10-08,17:26:02
180,3460,2024-10-08,17:26:02
181,3580,2024-10-08,17:26:02
182,3460,2024-10-08,17:26:02
183,3180,2024-10-08,17:26:03
184,2700,2024-10-08,17:26:03
185,2000,2024-10-08,17:26:03
186,1300,2024-10-08,17:26:03
187,740,2024-10-08,17:26:03
188,380,2024-10-08,17:26:03
189,180,2024-10-08,17:26:03
190,200,2024-10-08,17:26:03
191,420,2024-10-08,17:26:03
192,740,2024-10-08,17:26:03
193,1060,2024-10-08,17:26:03
194,1360,2024-10-08,17:26:03
195,1600,2024-10-08,17:26:03
196,1760,2024-10-08,17:26:03
197,1840,2024-10-08,17:26:03
198,1880,2024-10-08,17:26:03
199,1860,2024-10-08,17:26:03
200,1840,2024-10-08,17:26:03
201,1840,2024-10-08,17:26:03
202,1880,2024-10-08,17:26:03
203,1960,2024-10-08,17:26:03
204,2040,2024-10-08,17:26:03
205,2140,2024-10-08,17:26:03
206,2200,2024-10-08,17:26:03
207,2220,2024-10-08,17:26:03
208,2200,2024-10-08,17:26:03
209,2160,2024-10-08,17:26:03
210,2100,2024-10-08,17:26:03
211,2040,2024-10-08,17:26:03
212,1940,2024-10-08,17:26:03
213,1860,2024-10-08,17:26:03
214,1800,2024-10-08,17:26:03
215,1780,2024-10-08,17:26:03
216,1780,2024-10-08,17:26:03
217,1800,2024-10-08,17:26:03
218,1820,2024-10-08,17:26:03
219,1820,2024-10-08,17:26:03
220,1840,2024-10-08,17:26:03
221,1840,2024-10-08,17:26:03
222,1840,2024-10-08,17:26:03
223,1840,2024-10-08,17:26:03
224,1860,2024-10-08,17:26:03
225,1900,2024-10-08,17:26:03
226,1960,2024-10-08,17:26:03
227,1980,2024-10-08,17:26:03
228,2000,2024-10-08,17:26:03
229,2000,2024-10-08,17:26:03
230,1960,2024-10-08,17:26:03
231,1960,2024-10-08,17:26:03
232,1960,2024-10-08,17:26:03
233,1920,2024-10-08,17:26:03
234,1920,2024-10-08,17:26:03
235,1920,2024-10-08,17:26:03
236,1920,2024-10-08,17:26:03
237,1920,2024-10-08,17:26:03
238,1920,2024-10-08,17:26:03
239,1900,2024-10-08,17:26:03
240,1900,2024-10-08,17:26:03
241,1900,2024-10-08,17:26:03
242,1920,2024-10-08,17:26:03
243,1960,2024-10-08,17:26:03
244,2020,2024-10-08,17:26:03
245,2140,2024-10-08,17:26:03
246,2320,2024-10-08,17:26:03
247,2580,2024-10-08,17:26:03
248,2900,2024-10-08,17:26:03
249,3220,2024-10-08,17:26:03
250,3440,2024-10-08,17:26:03
251,3440,2024-10-08,17:26:03
252,3220,2024-10-08,17:26:03
253,2800,2024-10-08,17:26:03
254,2160,2024-10-08,17:26:03
255,1440,2024-10-08,17:26:03
256,840,2024-10-08,17:26:03
257,460,2024-10-08,17:26:03
258,260,2024-10-08,17:26:03
259,240,2024-10-08,17:26:03
260,440,2024-10-08,17:26:03
261,720,2024-10-08,17:26:03
262,1020,2024-10-08,17:26:03
263,1300,2024-10-08,17:26:03
264,1540,2024-10-08,17:26:03
265,1740,2024-10-08,17:26:03
266,1880,2024-10-08,17:26:03
267,1920,2024-10-08,17:26:03
268,1940,2024-10-08,17:26:03
269,1900,2024-10-08,17:26:03
270,1860,2024-10-08,17:26:03
271,1840,2024-10-08,17:26:03
272,1860,2024-10-08,17:26:03
273,1920,2024-10-08,17:26:03
274,2000,2024-10-08,17:26:03
275,2120,2024-10-08,17:26:03
276,2180,2024-10-08,17:26:03
277,2240,2024-10-08,17:26:03
278,2260,2024-10-08,17:26:03
279,2220,2024-10-08,17:26:03
280,2160,2024-10-08,17:26:04
281,2080,2024-10-08,17:26:04
282,1960,2024-10-08,17:26:04
283,1880,2024-10-08,17:26:04
284,1780,2024-10-08,17:26:04
285,1740,2024-10-08,17:26:04
286,1700,2024-10-08,17:26:04
287,1700,2024-10-08,17:26:04
288,1720,2024-10-08,17:26:04
289,1760,2024-10-08,17:26:04
290,1800,2024-10-08,17:26:04
291,1860,2024-10-08,17:26:04
292,1880,2024-10-08,17:26:04
293,1920,2024-10-08,17:26:04
294,1920,2024-10-08,17:26:04
295,1920,2024-10-08,17:26:04
296,1940,2024-10-08,17:26:04
297,1960,2024-10-08,17:26:04
298,1960,2024-10-08,17:26:04
299,1980,2024-10-08,17:26:04
300,1980,2024-10-08,17:26:04
301,1980,2024-10-08,17:26:04
302,1960,2024-10-08,17:26:04
303,1960,2024-10-08,17:26:04
304,1980,2024-10-08,17:26:04
305,1960,2024-10-08,17:26:04
306,1980,2024-10-08,17:26:04
307,1980,2024-10-08,17:26:04
308,1960,2024-10-08,17:26:04
309,1940,2024-10-08,17:26:04
310,1940,2024-10-08,17:26:04
311,1920,2024-10-08,17:26:04
312,1880,2024-10-08,17:26:04
313,1880,2024-10-08,17:26:04
314,1880,2024-10-08,17:26:04
315,1880,2024-10-08,17:26:04
316,1900,2024-10-08,17:26:04
317,1920,2024-10-08,17:26:04
318,1980,2024-10-08,17:26:04
319,2100,2024-10-08,17:26:04
320,2320,2024-10-08,17:26:04
321,2580,2024-10-08,17:26:04
322,2920,2024-10-08,17:26:04
323,3220,2024-10-08,17:26:04
324,3340,2024-10-08,17:26:04
325,3080,2024-10-08,17:26:04
326,2660,2024-10-08,17:26:04
327,2040,2024-10-08,17:26:04
328,1380,2024-10-08,17:26:04
329,840,2024-10-08,17:26:04
330,500,2024-10-08,17:26:04
331,320,2024-10-08,17:26:04
332,340,2024-10-08,17:26:04
333,540,2024-10-08,17:26:04
334,800,2024-10-08,17:26:04
335,1080,2024-10-08,17:26:04
336,1360,2024-10-08,17:26:04
337,1580,2024-10-08,17:26:04
338,1760,2024-10-08,17:26:04
339,1860,2024-10-08,17:26:04
340,1920,2024-10-08,17:26:04
341,1940,2024-10-08,17:26:04
342,1940,2024-10-08,17:26:04
343,1920,2024-10-08,17:26:04
344,1960,2024-10-08,17:26:04
345,2020,2024-10-08,17:26:04
346,2100,2024-10-08,17:26:04
347,2180,2024-10-08,17:26:04
348,2220,2024-10-08,17:26:04
349,2220,2024-10-08,17:26:04
350,2220,2024-10-08,17:26:04
351,2180,2024-10-08,17:26:04
352,2120,2024-10-08,17:26:04
353,2020,2024-10-08,17:26:04
354,1920,2024-10-08,17:26:04
355,1820,2024-10-08,17:26:04
