No.,APG Wave,Date,Time
0,1980,2024-10-08,14:51:53
1,2020,2024-10-08,14:51:53
2,2060,2024-10-08,14:51:53
3,2060,2024-10-08,14:51:53
4,2040,2024-10-08,14:51:53
5,2000,2024-10-08,14:51:53
6,1960,2024-10-08,14:51:53
7,1900,2024-10-08,14:51:53
8,1860,2024-10-08,14:51:53
9,1840,2024-10-08,14:51:53
10,1840,2024-10-08,14:51:53
11,1840,2024-10-08,14:51:53
12,1860,2024-10-08,14:51:53
13,1860,2024-10-08,14:51:53
14,1880,2024-10-08,14:51:53
15,1880,2024-10-08,14:51:53
16,1880,2024-10-08,14:51:53
17,1880,2024-10-08,14:51:53
18,1880,2024-10-08,14:51:53
19,1900,2024-10-08,14:51:53
20,1900,2024-10-08,14:51:53
21,1900,2024-10-08,14:51:53
22,1920,2024-10-08,14:51:53
23,1920,2024-10-08,14:51:53
24,1940,2024-10-08,14:51:53
25,1940,2024-10-08,14:51:53
26,1920,2024-10-08,14:51:53
27,1900,2024-10-08,14:51:53
28,1880,2024-10-08,14:51:53
29,1880,2024-10-08,14:51:53
30,1860,2024-10-08,14:51:53
31,1840,2024-10-08,14:51:53
32,1860,2024-10-08,14:51:53
33,1860,2024-10-08,14:51:53
34,1920,2024-10-08,14:51:53
35,2200,2024-10-08,14:51:53
36,2400,2024-10-08,14:51:53
37,2680,2024-10-08,14:51:53
38,2920,2024-10-08,14:51:53
39,3100,2024-10-08,14:51:53
40,3080,2024-10-08,14:51:53
41,2880,2024-10-08,14:51:53
42,2520,2024-10-08,14:51:53
43,2140,2024-10-08,14:51:53
44,1740,2024-10-08,14:51:54
45,1380,2024-10-08,14:51:54
46,1160,2024-10-08,14:51:54
47,1040,2024-10-08,14:51:54
48,1060,2024-10-08,14:51:54
49,1160,2024-10-08,14:51:54
50,1300,2024-10-08,14:51:54
51,1440,2024-10-08,14:51:54
52,1560,2024-10-08,14:51:54
53,1660,2024-10-08,14:51:54
54,1720,2024-10-08,14:51:54
55,1760,2024-10-08,14:51:54
56,1760,2024-10-08,14:51:54
57,1760,2024-10-08,14:51:54
58,1720,2024-10-08,14:51:54
59,1680,2024-10-08,14:51:54
60,1660,2024-10-08,14:51:54
61,1660,2024-10-08,14:51:54
62,1700,2024-10-08,14:51:54
63,1760,2024-10-08,14:51:54
64,1840,2024-10-08,14:51:54
65,1900,2024-10-08,14:51:54
66,1980,2024-10-08,14:51:54
67,2020,2024-10-08,14:51:54
68,2080,2024-10-08,14:51:54
69,2100,2024-10-08,14:51:54
70,2060,2024-10-08,14:51:54
71,2040,2024-10-08,14:51:54
72,1980,2024-10-08,14:51:54
73,1940,2024-10-08,14:51:54
74,1900,2024-10-08,14:51:54
75,1860,2024-10-08,14:51:54
76,1840,2024-10-08,14:51:54
77,1840,2024-10-08,14:51:54
78,1820,2024-10-08,14:51:54
79,1840,2024-10-08,14:51:54
80,1860,2024-10-08,14:51:54
81,1860,2024-10-08,14:51:54
82,1880,2024-10-08,14:51:54
83,1880,2024-10-08,14:51:54
84,1880,2024-10-08,14:51:54
85,1900,2024-10-08,14:51:54
86,1900,2024-10-08,14:51:54
87,1920,2024-10-08,14:51:54
88,1920,2024-10-08,14:51:54
89,1920,2024-10-08,14:51:54
90,1920,2024-10-08,14:51:54
91,1900,2024-10-08,14:51:54
92,1880,2024-10-08,14:51:54
93,1880,2024-10-08,14:51:54
94,1860,2024-10-08,14:51:54
95,1860,2024-10-08,14:51:54
96,1860,2024-10-08,14:51:54
97,1860,2024-10-08,14:51:54
98,1860,2024-10-08,14:51:54
99,1880,2024-10-08,14:51:54
100,1900,2024-10-08,14:51:54
101,1920,2024-10-08,14:51:54
102,1980,2024-10-08,14:51:54
103,2100,2024-10-08,14:51:54
104,2280,2024-10-08,14:51:54
105,2520,2024-10-08,14:51:54
106,2780,2024-10-08,14:51:54
107,3000,2024-10-08,14:51:54
108,3080,2024-10-08,14:51:54
109,2960,2024-10-08,14:51:54
